Description,TotalSalesDollars,ProfitMargin
Alma Negra Gran Almanegra,249.95,0.8620524104820965
Almaden Chard Cal,4935.509999999983,0.41111252940425413
Almaden Moscato,1151.3600000000001,0.2137559060589218
Almaden Moscato Rhine,260.71000000000004,0.19911012235817582
Almaden Pnt Grigio B/B,5560.709999999986,0.3202306899658484
Alpataco Malbec,575.64,0.32457786116322707
Alpataco Pnt Nr,735.5400000000001,0.4748348152377846
Alphonse Dolly Pouilly-Fume,1914.1600000000003,0.14202574497429699
Alta Classe Mntplcno Abruzzo,327.5900000000001,0.6073140205744988
Alta Vista Malbec Mendoza,137.88,0.4281984334203655
Altadonna Nero D'Avola,1594.8600000000008,0.8686781284877669
Altadonna Vermentino,530.4100000000001,0.9649327878433664
Alter Ego de Palmer Mrgx 11,2240.73,0.7337296327536116
Alto Ego De Palmer Margaux,2665.689999999999,0.9791873773769643
Altocedro Finca Tanos Malbec,1783.9500000000007,0.2395022282014632
Altocedro Malbec Reserva,239.92,0.31043681227075687
Alverez de Toledo Godello,2115.99,0.4015567181319381
Alverez de Toledo Mencia Rbl,5350.839999999962,0.3664770391190873
Amadeo Chianti,191.76,0.31539424280350437
Amapola Creek 09 Cab Svgn,2507.5599999999986,0.8233900684330583
Amaretto di Amore VAP,9650.349999999962,0.057440403715921566
Amaro Sfumato Rabarbaro,43.98,0.21282401091405184
Ame Neyers Cab Svgn Napa,1999.75,0.31130391298912374
Americano Petite Syrah,1560.1200000000001,0.30774555803399745
Amrut Fusion Single Malt,5384.189999999993,0.9064297508074565
Anakota 11 Helena Montana CS,1919.76,0.18351773138308952
Anakota Cab Svgn Helena Dako,1359.83,0.37809137906944246
Anarkos Puglia,299.76,0.6621297037630104
Anastasi Estates Messinia Rd,323.73,0.8528403299045502
Anderra Cab Svgn,4374.209999999973,0.4541551503014223
Anderra Carmenere,107.88,0.32925472747497214
Anderra Svgn Bl,5655.799999999953,0.39362247604228756
Andre Moscato,558.04,0.2344634793204789
Andre Pink Moscato,240.57999999999998,0.2009310832155623
Andre Spumante Calif,2295.1499999999983,0.3404875498333439
Andrew Will Two Blondes WA,803.88,0.33333333333333337
AnestasiA Vodka,7990.389999999973,0.684721271427301
Angela Yamhill-Carlton Pnt N,1072.71,0.19389210504236934
Angeline Chard Cal,217.76000000000002,0.1849742836149891
Angeline Svgn Bl RRV,255.15,0.34156378600823045
Angelini Sangiovese Pesaresi,1888.8100000000006,0.38052530429212056
Angels Envy Hanover Chop,275.94,0.23070232659273754
Angels Landing Cab Svgn,4817.589999999982,0.22404355704823042
Angoves Nine Vines Moscato,395.67,0.02289786943665176
Anna de Codorniu Brut Rose,191.88,0.34646654158849277
Annabella Cab Svgn Napa,1039.3500000000001,0.24600952518400937
Antech Limoux Brut,1618.6500000000008,0.009174311926606147
Anterra Chardonnay,4634.199999999973,0.9184325234128863
Anthology Conn Crk Cab Napa,4164.939999999997,0.23311020086723855
Antica Cab Svgn Napa Valley,2791.3999999999987,0.21007379809414595
Antica Chard Napa Valley,1193.6200000000001,0.3112380824718085
Antica Fratta Franciacorta B,6680.3799999999765,0.4451872498271036
Antico Colle Chianti Colli,263.76,0.3375796178343949
Antigal Uno Cab Mendza,782.5200000000002,0.7264478863160047
Antinori Badia Chianti Clsc,455.88000000000005,0.28737825743616746
Antinori Bolgheri Guado,5948.389999999995,0.5680242889252383
Antinori Brnllo Mntlcno Pain,1413.74,0.5089196033216857
Antinori Cervaro della Salla,271.92,0.3765813474551339
Antinori Orvieto Clsc Campo,8881.819999999943,0.423595614412358
Antinori Tignanello,9115.969999999992,0.482827389734718
Antiquary 12 Yr Old Scotch,134.94,0.2423299244108493
Anton Bauer Gmork Rose,167.88,0.3466761972837741
Apaltagua Envero Gran Rsv,750.5,0.088927381745503
Apaltagua Rose Carmenere,7671.019999999938,0.3045592372331138
Apimed Old Slavic Mead Dark,953.1,0.34938621340887627
Apimed Old Slavic Mead Light,635.4,0.3909348441926345
Apimed Slovak Mead,464.58,0.38163502518403725
Apimed Trnava Mead,335.7,0.4012511170688114
Apple Orchard Liqueur,2017.9800000000012,0.9020902090209022
Aquilon 06 Garnacha de Borja,629.93,0.9060213039544075
Aquinas Cab Svgn,3592.349999999996,0.9042409564769579
Aquinas Napa Chard,643.5400000000001,0.8531559809802033
Aquitania Cab Svgn,2526.4199999999955,0.07556938276295957
Arabella Chard,131.88,0.3375796178343949
Arca Nova Rose,263.76,0.31028207461328483
Archetype Shiraz/Cab Barossa,142.89000000000001,0.2676884316607181
Ardbeg Auriverdes Scotch,3959.5799999999963,0.826522004859101
Ardbeg Dark Cove Com Release,7259.339999999997,0.21982990189190718
Aresti Pnt Nr Curico Vly,94.80999999999999,0.9654044931969201
Argentiera Poggio Ginerpi Bo,227.88,0.3243812532912059
Argiano Non Confunditur Rsso,263.87999999999994,0.35470668485675294
Argiola Costera Isola dei N,149.85,0.45945945945945943
Argiolas SerraLori Rose 13,503.4000000000002,0.33778307508939237
Arindo Verdejo Rueda,708.3700000000002,0.6371387834041533
Armand Kabinett Rsl,577.7000000000002,0.4640817033062144
Armand de Brignac Brut Rose,9239.779999999997,0.5183608267729317
Armorik Single Malt Whiskey,1199.8,0.9624020670111686
Arnaldo Caprai Grecante Grec,1614.1500000000003,0.04618529876405549
Arrogant Frog Chardonnay,239.76,0.6751751751751752
Arrogant Frog Pnt Nr,2607.3900000000012,0.35385960673317035
Arrow Apricot Brandy,575.28,0.24280350438047552
Arrow Blackraspberry Liqueur,383.5200000000001,0.2065081351689614
Arrow Blue Curacao,4554.299999999974,0.23705509079331205
Arrow Creme de Strawberry,3835.1999999999753,0.34853723404254894
Arrowood Cab Svgn Sonoma Vly,8667.009999999984,0.3057594256842887
Arrowood Sonoma Est Cab Svgn,1766.96,0.26603884638022374
Art of Eart Montepulciano d',2160.8900000000017,0.6129650282985254
Artesa Elements Napa Red,744.3300000000003,0.02899251676003958
Asamai Shuzo Heavens Door,119.96,0.013171057019006322
Aska Bolgheri Rosso,434.85,0.288766241232609
Assyrtiko-Athiri Atlantis,191.88,0.33771106941838647
Astraly Touraine Nobel Rose,89.94,0.31020680453635757
Aszu Royal Tokaji 5 Puttony,9098.04999999998,0.1963519655310736
Atalon Cab Svgn Napa,1589.4700000000003,0.5590228189270638
Atalon Pauline's Cuvee Red N,2358.8199999999997,0.9058045972138611
Atalon Svgn Bl Napa Valley,2118.94,0.6347230218883027
Atamisque Assemblage,5344.379999999986,0.2763426253372682
Atholl Brose Scotch Liqueur,329.94,0.27532278596108384
Atlas Peak Cab Svgn,559.84,0.6080308659617034
Attitude 13 Rose Jolivet,2350.3199999999974,0.8879641921100103
Au Bon Climate Pnt Nr,2155.0200000000004,0.2277009030078609
Auchentoshan Classic Scotch,359.88,0.9440091141491609
Austin Cocktails Vodkarita,2353.4299999999976,0.9154128229860244
Avante Tinto Fino Ribera Del,892.53,0.3243812532912059
Aveleda Follies,3429.359999999984,0.901381015699722
Aviary Chard,215.88,0.42301278488048916
Aviary Red Blend,5894.719999999987,0.16062510178600317
Avion Espresso,202.93,0.39979303208002764
Avion Tasting Flight 3/375mL,9852.959999999974,0.46849271690943484
Ayala Brut Majeur,8117.149999999981,0.2495654262887821
Ayala Rose Majeur,2607.5599999999995,0.6066437589163816
B & B Dom VAP,1319.4800000000002,0.9725497923424379
B & G CDP Rose,2572.729999999996,0.14260726932091486
B & G Cotes du Rhone Red,155.88,0.49037721324095457
B & G Pnt Nr Bistro,6114.809999999949,0.34738773567779907
B & G Sancerre Svgn Bl,243.91000000000003,0.1532942478783158
B & G Sauternes,6997.139999999953,0.34170818362930755
B Side Cab Svgn,887.6300000000001,0.015806135439316027
B Side Napa Vly Red,1259.4600000000003,0.46739078652755955
BR Cohn Olive Hill Cab Svgn,99.98,0.3332666533306662
BV Beaurouge Red,6880.409999999985,0.843936625869679
BV Coastal Estate Moscato,164.85,0.5777979981801638
BV Coastal Estate Red,450.5900000000001,0.01569053907099604
BV Coastal Estate Svgn Bl,560.35,0.5277951280449719
BV GDL Private Rsv Cab Svgn,4799.5999999999985,0.2860405033752812
Bacardi 1873 Solera Rum,2353.4299999999985,0.8938145600251547
Bacardi 8 Gift Set,869.6500000000001,0.9178980049445179
Bacardi Anejo Mexican Rum,2476.2299999999996,0.5905711504989438
Bacardi Artic Grape Rum,195.85999999999999,0.510466659859083
Bacardi Coconut,5752.889999999728,0.9784282334617894
Bacardi Dragon Berry,3203.6399999999408,0.9476345656815364
Bacardi Dragon Berry Trav,709.2900000000003,0.8792031468087808
Bacardi Limon Traveler,409.59000000000015,0.964403427818062
Bacardi O Orange Rum,2294.350000000001,0.23806194171219672
Bacardi Oakheart Spiced Trav,399.6000000000002,0.9813313313313314
Bacardi Party Drinks Hurricn,159.9,0.33358348968105067
Bacardi Party Drinks Rum Run,303.81000000000006,0.0431519699812385
Bacardi Peach Red Rum,287.76,0.396163469557965
Bacardi Reserva Limitada,2879.6799999999985,0.9530086676297366
Badenhorst Secateurs Chen Bl,6785.2799999999625,0.3284256508205963
Badenhorst Secateurs Red,4045.169999999986,0.16494980433454928
Bak's Krupnik Honey Liqueur,704.5300000000003,0.3667267540062172
Bakon Vodka,2049.1800000000003,0.43777511004401787
Balcones Baby Blue Corn Whis,275.94,0.22483148510545767
Balcones TX Whisky Single Ba,389.94,0.2308047391906447
Balletto 15 Rose Pnt Nr RRV,9956.13999999994,0.15818278971568792
Balvenie 15 Yr Single Malt,899.9000000000001,0.571419046560729
Banfi Centine Bianco Toscana,4649.829999999974,0.3938423555269729
Banfi Grappa Castello,1984.4800000000002,0.35068128678545535
Banfi Pnt Grigio Rime,7485.7799999999315,0.3514102738792693
Banfi Poggio All'Oro Br Mont,3755.7500000000005,0.553431405178726
Banfi Poggio Alle Mura Montl,9308.599999999988,0.28801538362374474
Banfi Poggio Alle Mura Rsva,1876.8200000000002,0.7232339808825566
Banfi Summus Tuscany Red,2902.5199999999986,0.8368176618938026
Banknote Counterfeit,579.71,0.3846578461644615
Banshee 12 Marine Layer Pnt,1221.74,0.3967292549969716
Banshee Cab Svgn Napa Vly,6997.939999999985,0.6037548192753859
Banshee Chard,670.6400000000001,0.8215137778838124
Banshee Mordecai Proprietary,4977.509999999988,0.307826604065083
Banshee Rose 14 Pnt Nr Sonom,203.88,0.34667451442024727
Barbarossa Spiced Rum,945.1400000000003,0.9822460164631696
Barbera d'Alba Alessandria,5085.529999999978,0.4547706925335191
